,name,company,year,Price,kms_driven,fuel_type
0,hyundai santro,hyundai,2007,80000,45000,Petrol
1,mahindra jeep,mahindra,2006,425000,40,Diesel
2,hyundai grand,hyundai,2014,325000,28000,Petrol
3,ford ecosport,ford,2014,575000,36000,Diesel
4,ford figo,ford,2012,175000,41000,Diesel
5,hyundai eon,hyundai,2013,190000,25000,Petrol
6,ford ecosport,ford,2016,830000,24530,Diesel
7,marutisuzuki alto,maruti,2015,250000,60000,Petrol
8,skoda fabia,skoda,2010,182000,60000,Petrol
10,hyundai elite,hyundai,2014,415000,32000,Petrol
11,mahindra scorpio,mahindra,2015,320000,48660,Diesel
12,hyundai santro,hyundai,2007,80000,45000,Petrol
13,mahindra jeep,mahindra,2006,425000,40,Diesel
16,mahindra scorpio,mahindra,2016,350000,43000,Diesel
17,marutisuzuki alto,maruti,2014,160000,35550,Petrol
18,mahindra scorpio,mahindra,2016,350000,43000,Diesel
19,mahindra scorpio,mahindra,2016,310000,39522,Diesel
20,marutisuzuki alto,maruti,2015,75000,39000,Petrol
21,hyundai i20,hyundai,2012,100000,55000,Petrol
22,hyundai i20,hyundai,2012,100000,55000,Petrol
23,hyundai i20,hyundai,2012,100000,55000,Petrol
24,marutisuzuki alto,maruti,2017,190000,72000,Petrol
25,marutisuzuki vitara,maruti,2016,290000,15975,Diesel
26,marutisuzuki alto,maruti,2008,95000,70000,Petrol
27,mahindra bolero,mahindra,2017,180000,23452,Diesel
28,marutisuzuki swift,maruti,2014,385000,35522,Diesel
29,mahindra scorpio,mahindra,2015,250000,48508,Diesel
30,marutisuzuki swift,maruti,2017,180000,15487,Petrol
31,marutisuzuki wagon,maruti,2013,105000,39000,Petrol
32,marutisuzuki wagon,maruti,2013,105000,39000,Petrol
33,toyota innova,toyota,2012,650000,82000,Diesel
36,marutisuzuki baleno,maruti,2017,549000,32000,Diesel
37,renault duster,renault,2012,501000,38000,Diesel
38,renault duster,renault,2013,489999,27000,Diesel
39,honda city,honda,2011,280000,33000,Petrol
40,marutisuzuki alto,maruti,2015,250000,60000,Petrol
41,marutisuzuki dzire,maruti,2013,349999,46000,Diesel
42,honda amaze,honda,2013,284999,46000,Diesel
43,honda amaze,honda,2015,345000,36000,Diesel
44,honda city,honda,2015,499999,55000,Petrol
45,datsun redi,datsun,2017,235000,16000,Petrol
46,marutisuzuki sx4,maruti,2010,249999,36000,Petrol
47,mitsubishi pajero,mitsubishi,2015,1475000,47000,Diesel
48,mahindra bolero,mahindra,2017,180000,23452,Diesel
49,marutisuzuki swift,maruti,2014,385000,35522,Diesel
50,mahindra scorpio,mahindra,2015,250000,48508,Diesel
51,marutisuzuki swift,maruti,2017,180000,15487,Petrol
52,marutisuzuki wagon,maruti,2013,105000,39000,Petrol
53,marutisuzuki wagon,maruti,2013,105000,39000,Petrol
54,mahindra scorpio,mahindra,2015,395000,35000,Diesel
55,marutisuzuki swift,maruti,2017,220000,30874,Petrol
56,honda city,honda,2017,170000,15000,Diesel
57,marutisuzuki wagon,maruti,2013,85000,29685,Petrol
58,ford figo,ford,2012,175000,41000,Diesel
59,hyundai eon,hyundai,2013,190000,25000,Petrol
60,tata indigo,tata,2017,200000,130000,Diesel
61,ford ecosport,ford,2016,830000,24530,Diesel
62,tata indigo,tata,2017,200000,130000,Diesel
63,mahindra scorpio,mahindra,2012,570000,19000,Diesel
64,volkswagen polo,volkswagen,2014,315000,60000,Petrol
65,skoda fabia,skoda,2010,182000,60000,Petrol
67,chevrolet spark,chevrolet,2010,110000,41000,Petrol
68,renault duster,renault,2012,501000,35000,Diesel
69,honda city,honda,2015,448999,54000,Petrol
70,mini cooper,mini,2013,1891111,13000,Petrol
71,datsun redi,datsun,2017,235000,16000,Petrol
72,skoda fabia,skoda,2011,159500,38200,Diesel
73,honda amaze,honda,2015,344999,22000,Petrol
74,honda amaze,honda,2015,344999,22000,Petrol
75,renault duster,renault,2014,449999,50000,Diesel
76,mini cooper,mini,2013,1891111,13500,Petrol
77,mahindra scorpio,mahindra,2015,865000,30000,Diesel
78,mahindra scorpio,mahindra,2014,699000,50000,Diesel
79,mahindra quanto,mahindra,2013,375000,20000,Diesel
80,ford ecosport,ford,2017,489999,39000,Petrol
81,honda brio,honda,2012,224999,30000,Petrol
82,volkswagen vento,volkswagen,2019,1200000,3600,Diesel
83,hyundai i20,hyundai,2009,195000,32000,Petrol
84,toyota corolla,toyota,2010,351000,38000,Diesel
85,hyundai verna,hyundai,2008,160000,45000,Petrol
86,toyota corolla,toyota,2009,240000,35000,Petrol
87,honda city,honda,2005,90000,50000,Petrol
88,hyundai elite,hyundai,2014,415000,32000,Petrol
89,skoda fabia,skoda,2011,155000,45863,Diesel
